分类,标准写法,错误写法,英文名称,全称,释义,上下文例句,备注
产品命名,RDK S100,"RDKS100, RDK-S100, S100",RDK S100,Robotics Developer Kit S100,"D-Robotics S 系列开发者套件,板载 eMMC 系统存储(+UFS/NVMe 扩展待澄清)。",,"正文按标准写法 `RDK S100`(带空格)。UI 下拉实际显示 `RDKS100`(无空格),属界面待改,纳入界面待改清单,不迁就正文。"
产品命名,RDK S600,"RDKS600, RDK-S600, S600",RDK S600,Robotics Developer Kit S600,"D-Robotics S 系列高配开发者套件,板载 UFS 系统存储(+NVMe 扩展)。",,"正文按标准写法 `RDK S600`(带空格)。UI 下拉实际显示 `RDKS600`(无空格),属界面待改,纳入界面待改清单,不迁就正文。"
产品命名,RDK X3,"RDKX3, RDK-X3, X3",RDK X3,Robotics Developer Kit X3,"D-Robotics X 系列开发者套件,板载 NAND。",,"烧录用 hbupdate(与 XBurn 并列的独立工具),不由 XBurn 覆盖。"
产品命名,RDK X5,"RDKX5, RDK-X5, X5",RDK X5,Robotics Developer Kit X5,"D-Robotics X 系列开发者套件,板载 NAND;分商业 SDK(产品类型 `X5`)与生态 RDK(产品类型 `RDKX5`)两套。",在 RDK X5 上完成模型量化后...,UI 产品类型值为 `X5` 或 `RDKX5`(商业 SDK / 生态 RDK 区分);波特率 115200。
产品命名,RDK X5 Module,"RDKX5 Module, RDK-X5 Module, X5 Module",RDK X5 Module,Robotics Developer Kit X5 Module,"RDK X5 的模组形态,与 X5 同 SoC,波特率 921600(X5 为 115200),产品类型与 X5 共用 `X5`。",,X5 Module 与 X5 共用产品类型 `X5`(见 rdk_x_doc X5/X5 Module burn 页烧录参数表);波特率 921600(X5 为 115200)。
产品命名,XBurn,"Xburn, xburn, Xburn 工具",XBurn,,"D-Robotics 烧录工具,覆盖 RDK S100/S600/X5/X5 Module,不覆盖 X3(X3 用 hbupdate)。",使用 XBurn 工具完成 Ubuntu 系统烧录。,"大小写 X+大写 B。现有素材正文多误写 `Xburn`(小写 b),需统一为 XBurn。包名/二进制 `xburn-gui` 保留小写(文件名,非工具名)。"
产品命名,hbupdate,"HBUpdate, HBupdate, Hbupdate",hbupdate,,"X3/X3 Module 烧录工具,与 XBurn 是并列的独立工具,非被 XBurn 取代的过去式。",,"全小写。不纳入 XBurn 手册,概述提一句边界即可。"
产品命名,D-Navigation,"D-navigation, d-navigation, Dnavigation",D-Navigation,,"XBurn 前身的烧录工具,2026-03 被 XBurn 替代。",,"大小写 D+大写 N。旧文档多误写 `D-navigation`(小写 n),引用历史时统一 D-Navigation。"
行业通用,Bootloader,"bootloader, BootLoader",Bootloader,,"板载启动固件的上位概念,含 Miniboot(早期阶段)与 U-Boot(主阶段)两阶段,不等于 miniboot。",Bootloader 固件烧录是指将底层固件写入板载存储。,"首字母大写。源码目录路径/变量名为小写 `bootloader`(如 source/bootloader),引用路径时反引号原样保留。"
行业通用,miniboot,"Miniboot, MiniBoot",miniboot,,"Bootloader 早期阶段,先于 U-Boot 加载。",,"全小写(概念词)。UI 区域值为 `miniboot_flash` / `miniboot_emmc` / `miniboot_ufs`(下划线小写)。现有素材混用 Miniboot/MiniBoot,统一小写。系统内可用 `rdk-miniboot-update` 命令在线升级 miniboot(全小写+连字符,勿写成下划线 `rdk_miniboot_update`)。"
