Source (标准写法),Target (英文名称),Definition (释义),Context (上下文例句),Subject Field (适用范围),Notes (附注)
RDK S100,RDK S100,"D-Robotics S 系列开发者套件,板载 eMMC 系统存储(+UFS/NVMe 扩展待澄清)。",,,"全称: Robotics Developer Kit S100 | 错误写法(勿用): RDKS100 / RDK-S100 / S100 | 正文按标准写法 `RDK S100`(带空格)。UI 下拉实际显示 `RDKS100`(无空格),属界面待改,纳入界面待改清单,不迁就正文。"
RDK S600,RDK S600,"D-Robotics S 系列高配开发者套件,板载 UFS 系统存储(+NVMe 扩展)。",,,"全称: Robotics Developer Kit S600 | 错误写法(勿用): RDKS600 / RDK-S600 / S600 | 正文按标准写法 `RDK S600`(带空格)。UI 下拉实际显示 `RDKS600`(无空格),属界面待改,纳入界面待改清单,不迁就正文。"
RDK X3,RDK X3,"D-Robotics X 系列开发者套件,板载 NAND。",,,"全称: Robotics Developer Kit X3 | 错误写法(勿用): RDKX3 / RDK-X3 / X3 | 烧录用 hbupdate(与 XBurn 并列的独立工具),不由 XBurn 覆盖。"
RDK X5,RDK X5,"D-Robotics X 系列开发者套件,板载 NAND;分商业 SDK(产品类型 `X5`)与生态 RDK(产品类型 `RDKX5`)两套。",在 RDK X5 上完成模型量化后...,,全称: Robotics Developer Kit X5 | 错误写法(勿用): RDKX5 / RDK-X5 / X5 | UI 产品类型值为 `X5` 或 `RDKX5`(商业 SDK / 生态 RDK 区分);波特率 115200。
RDK X5 Module,RDK X5 Module,"RDK X5 的模组形态,与 X5 同 SoC,波特率 921600(X5 为 115200),产品类型与 X5 共用 `X5`。",,,全称: Robotics Developer Kit X5 Module | 错误写法(勿用): RDKX5 Module / RDK-X5 Module / X5 Module | X5 Module 与 X5 共用产品类型 `X5`(见 rdk_x_doc X5/X5 Module burn 页烧录参数表);波特率 921600(X5 为 115200)。
XBurn,XBurn,"D-Robotics 烧录工具,覆盖 RDK S100/S600/X5/X5 Module,不覆盖 X3(X3 用 hbupdate)。",使用 XBurn 工具完成 Ubuntu 系统烧录。,XBurn 手册,"错误写法(勿用): Xburn / xburn / Xburn 工具 | 大小写 X+大写 B。现有素材正文多误写 `Xburn`(小写 b),需统一为 XBurn。包名/二进制 `xburn-gui` 保留小写(文件名,非工具名)。"
hbupdate,hbupdate,"X3/X3 Module 烧录工具,与 XBurn 是并列的独立工具,非被 XBurn 取代的过去式。",,,"错误写法(勿用): HBUpdate / HBupdate / Hbupdate | 全小写。不纳入 XBurn 手册,概述提一句边界即可。"
D-Navigation,D-Navigation,"XBurn 前身的烧录工具,2026-03 被 XBurn 替代。",,XBurn 手册 changelog,"错误写法(勿用): D-navigation / d-navigation / Dnavigation | 大小写 D+大写 N。旧文档多误写 `D-navigation`(小写 n),引用历史时统一 D-Navigation。"
Bootloader,Bootloader,"板载启动固件的上位概念,含 Miniboot(早期阶段)与 U-Boot(主阶段)两阶段,不等于 miniboot。",Bootloader 固件烧录是指将底层固件写入板载存储。,通用,"错误写法(勿用): bootloader / BootLoader | 首字母大写。源码目录路径/变量名为小写 `bootloader`(如 source/bootloader),引用路径时反引号原样保留。"
miniboot,miniboot,"Bootloader 早期阶段,先于 U-Boot 加载。",,通用,"错误写法(勿用): Miniboot / MiniBoot | 全小写(概念词)。UI 区域值为 `miniboot_flash` / `miniboot_emmc` / `miniboot_ufs`(下划线小写)。现有素材混用 Miniboot/MiniBoot,统一小写。系统内可用 `rdk-miniboot-update` 命令在线升级 miniboot(全小写+连字符,勿写成下划线 `rdk_miniboot_update`)。"
